PropertyID,City,State,PropertyType,Bedrooms,Bathrooms,AreaSqFt,YearBuilt,Floor,TotalFloors,Furnishing,Parking,SaleType,SaleDate,Currency,Price
2073,Jaipur,Rajasthan,Apartment,3,3,1653,2012,24,26,Furnished,Covered,Resale,2025-08-26,INR,10918443
720,Bengaluru,Karnataka,Condo,2,3,1141,2005,23,31,Unfurnished,Open,Resale,2024-05-26,INR,13455731
2012,Noida,Uttar Pradesh,Apartment,2,3,943,2018,6,16,Unfurnished,Open,Resale,2024-03-06,INR,8193710
2437,Hyderabad,Telangana,Apartment,1,2,467,2025,25,33,Semi-Furnished,None,Resale,2024-02-16,INR,5021493
197,Kolkata,West Bengal,Apartment,3,2,1611,2014,18,22,Semi-Furnished,Covered,Resale,2024-11-02,INR,13522239
892,Lucknow,Uttar Pradesh,Apartment,1,1,601,2006,23,33,Unfurnished,None,Resale,2024-01-20,INR,5000000
1265,Mumbai,Maharashtra,Apartment,2,2,840,2020,1,11,Unfurnished,Covered,Resale,2025-03-07,INR,21038913
1035,Ahmedabad,Gujarat,Apartment,2,3,779,2024,19,26,Unfurnished,None,New,2023-05-30,INR,5129402
1326,Jaipur,Rajasthan,Apartment,1,1,567,2018,8,12,Unfurnished,Covered,Resale,2023-07-26,INR,5000000
510,Ahmedabad,Gujarat,House,2,2,1136,2018,0,1,Furnished,Covered,Resale,2023-09-14,INR,8097334
1428,Chennai,Tamil Nadu,Apartment,2,2,783,2013,17,26,Furnished,Covered,Resale,2024-06-29,INR,8346378
195,Ahmedabad,Gujarat,Apartment,1,2,521,2010,19,24,Unfurnished,Covered,Resale,2024-09-19,INR,5000000
1180,Hyderabad,Telangana,Apartment,3,3,1749,2014,3,5,Semi-Furnished,Covered,Resale,2023-05-10,INR,15511440
2033,Mumbai,Maharashtra,Apartment,2,1,1172,2017,11,20,Furnished,Covered,Resale,2023-08-12,INR,32155816
933,Bengaluru,Karnataka,Condo,3,3,1675,2024,21,29,Semi-Furnished,Covered,Resale,2023-06-13,INR,21035589
1125,Ahmedabad,Gujarat,Condo,2,2,1095,2021,5,12,Semi-Furnished,None,Resale,2025-01-20,INR,8562981
1823,Ahmedabad,Gujarat,Condo,3,2,1455,2025,9,18,Semi-Furnished,Covered,Resale,2025-01-18,INR,10695100
1367,Mumbai,Maharashtra,Apartment,3,3,1787,2021,20,26,Semi-Furnished,Open,Resale,2023-08-03,INR,49315907
1993,Noida,Uttar Pradesh,Condo,3,3,1800,2011,16,22,Unfurnished,Covered,Resale,2023-05-13,INR,20107671
1259,Gurgaon,Haryana,Apartment,3,4,1273,2005,9,10,Unfurnished,Covered,Resale,2024-01-01,INR,14485330
2275,Pune,Maharashtra,Apartment,2,2,1015,2020,22,32,Furnished,Covered,Resale,2025-04-17,INR,10285857
1274,Jaipur,Rajasthan,Apartment,3,3,1613,2008,21,27,Unfurnished,None,Resale,2025-02-27,INR,8732110
1937,Chennai,Tamil Nadu,Apartment,2,2,998,1998,24,27,Semi-Furnished,Covered,Resale,2023-07-11,INR,11108285
1267,Ahmedabad,Gujarat,Apartment,4,4,1698,2006,19,24,Semi-Furnished,Covered,Resale,2023-01-19,INR,10861164
773,Kolkata,West Bengal,Apartment,1,1,662,2022,9,10,Semi-Furnished,Covered,Resale,2025-01-24,INR,6365853
1609,Delhi,Delhi,Apartment,2,2,862,2023,1,6,Semi-Furnished,None,New,2023-07-07,INR,14943036
1312,Pune,Maharashtra,House,5,5,3382,2024,0,1,Semi-Furnished,Covered,New,2025-08-27,INR,41269052
135,Kolkata,West Bengal,Apartment,3,3,1589,2013,3,10,Semi-Furnished,Covered,Resale,2024-02-19,INR,12729043
1856,Gurgaon,Haryana,Apartment,3,3,1054,1995,5,7,Semi-Furnished,None,Resale,2025-08-12,INR,12003193
2400,Jaipur,Rajasthan,Condo,3,3,1227,1999,25,32,Semi-Furnished,Open,Resale,2023-07-24,INR,7643388
421,Hyderabad,Telangana,Condo,2,2,884,2009,17,18,Semi-Furnished,Covered,Resale,2025-08-31,INR,10407696
1756,Jaipur,Rajasthan,Apartment,2,2,770,2015,21,26,Semi-Furnished,Open,Resale,2023-12-12,INR,5248345
708,Kolkata,West Bengal,Condo,1,1,611,2022,17,22,Unfurnished,None,Resale,2024-03-29,INR,6643514
94,Ahmedabad,Gujarat,Townhouse,1,2,619,2022,0,1,Semi-Furnished,None,Resale,2025-06-14,INR,5000000
57,Jaipur,Rajasthan,Apartment,2,3,1039,1996,5,6,Unfurnished,Open,Resale,2024-10-20,INR,5191668
219,Gurgaon,Haryana,Apartment,2,1,1160,2015,13,21,Unfurnished,None,Resale,2025-04-08,INR,13901299
1037,Chennai,Tamil Nadu,Apartment,2,2,735,2008,13,22,Unfurnished,Covered,Resale,2023-03-25,INR,7094424
1294,Ahmedabad,Gujarat,Apartment,3,2,1764,2022,23,27,Semi-Furnished,Open,Resale,2025-03-12,INR,13189012
1953,Noida,Uttar Pradesh,Apartment,2,2,995,2017,23,24,Semi-Furnished,Covered,Resale,2023-07-20,INR,9511459
1450,Lucknow,Uttar Pradesh,Apartment,3,3,1476,2023,14,22,Semi-Furnished,Open,Resale,2023-11-29,INR,8738582
2360,Ahmedabad,Gujarat,Apartment,1,2,586,2016,1,5,Semi-Furnished,Open,Resale,2024-02-19,INR,5000000
1466,Chennai,Tamil Nadu,Apartment,2,3,932,2008,3,4,Unfurnished,Open,Resale,2024-08-23,INR,9447883
299,Lucknow,Uttar Pradesh,Apartment,2,2,1090,2014,0,5,Unfurnished,Covered,Resale,2025-02-27,INR,5978540
2178,Lucknow,Uttar Pradesh,Apartment,3,2,1485,2022,1,4,Unfurnished,Covered,Resale,2024-04-10,INR,8406785
179,Jaipur,Rajasthan,Apartment,3,2,1316,2012,24,31,Semi-Furnished,Covered,Resale,2025-01-04,INR,8135609
1188,Gurgaon,Haryana,Apartment,2,2,851,2001,24,29,Furnished,Open,Resale,2023-04-26,INR,11140348
1473,Hyderabad,Telangana,Condo,4,4,2525,2010,0,9,Semi-Furnished,Covered,Resale,2024-02-01,INR,25286130
189,Kolkata,West Bengal,Apartment,3,3,1335,2024,16,24,Semi-Furnished,Covered,New,2025-01-08,INR,12071528
573,Noida,Uttar Pradesh,Apartment,2,1,712,2014,25,35,Unfurnished,Open,Resale,2025-03-26,INR,7139453
434,Ahmedabad,Gujarat,House,2,1,1026,1993,0,1,Semi-Furnished,Open,Resale,2025-01-13,INR,6769073
519,Chennai,Tamil Nadu,Apartment,2,3,749,2001,16,20,Semi-Furnished,None,Resale,2023-08-25,INR,7816954
2347,Hyderabad,Telangana,Condo,2,1,938,2020,0,7,Unfurnished,Covered,Resale,2023-04-25,INR,9131490
2272,Pune,Maharashtra,House,5,5,3614,2000,0,1,Unfurnished,Covered,Resale,2023-07-09,INR,33644755
1085,Delhi,Delhi,Apartment,3,2,1246,1996,21,30,Unfurnished,None,Resale,2024-04-16,INR,19450791
1289,Noida,Uttar Pradesh,Apartment,2,2,775,2017,0,4,Unfurnished,Covered,Resale,2025-05-29,INR,6550101
1124,Lucknow,Uttar Pradesh,House,3,2,1160,2021,0,1,Unfurnished,Covered,Resale,2023-06-12,INR,6448149
1342,Gurgaon,Haryana,Apartment,2,2,1089,2023,1,8,Semi-Furnished,Covered,New,2023-12-02,INR,15167366
2257,Gurgaon,Haryana,Apartment,4,4,1880,2016,13,20,Unfurnished,None,Resale,2025-05-03,INR,25102919
1491,Pune,Maharashtra,House,3,3,1922,2007,0,1,Semi-Furnished,None,Resale,2023-12-22,INR,17969495
44,Jaipur,Rajasthan,Apartment,2,2,1046,2020,17,18,Semi-Furnished,Covered,Resale,2023-06-28,INR,6573724
1879,Jaipur,Rajasthan,House,4,4,2717,2002,0,1,Semi-Furnished,None,Resale,2024-08-04,INR,14053392
451,Lucknow,Uttar Pradesh,House,5,5,2595,2001,0,1,Furnished,Open,Resale,2024-09-13,INR,14715858
2046,Noida,Uttar Pradesh,House,5,4,2606,2010,0,1,Furnished,Covered,Resale,2023-06-16,INR,31273071
45,Chennai,Tamil Nadu,Apartment,2,3,1010,2018,16,24,Unfurnished,Covered,Resale,2024-04-21,INR,9612795
1284,Noida,Uttar Pradesh,House,3,4,2001,2010,0,1,Unfurnished,Open,Resale,2023-05-08,INR,21539334
1968,Noida,Uttar Pradesh,House,3,3,1737,2023,0,1,Semi-Furnished,Covered,New,2024-12-29,INR,19653572
2091,Lucknow,Uttar Pradesh,Condo,2,3,1054,2009,0,3,Unfurnished,Covered,Resale,2024-11-07,INR,5848487
255,Chennai,Tamil Nadu,Apartment,3,4,1248,2017,8,13,Semi-Furnished,None,Resale,2023-06-23,INR,11675221
1946,Delhi,Delhi,Apartment,3,2,1702,2011,16,23,Unfurnished,Covered,Resale,2023-04-07,INR,26743242
1875,Delhi,Delhi,Apartment,3,3,1246,2018,16,25,Unfurnished,Covered,Resale,2023-05-07,INR,23181125
1863,Hyderabad,Telangana,Apartment,3,3,1770,2016,20,23,Semi-Furnished,Open,Resale,2024-04-17,INR,18862763
565,Lucknow,Uttar Pradesh,Apartment,3,3,1634,2018,4,5,Semi-Furnished,None,Resale,2025-04-19,INR,9425077
213,Bengaluru,Karnataka,Apartment,3,2,1267,2012,9,19,Semi-Furnished,Open,Resale,2024-04-02,INR,16182138
867,Lucknow,Uttar Pradesh,Apartment,2,2,804,2024,18,26,Unfurnished,None,New,2023-03-07,INR,5000000
743,Chennai,Tamil Nadu,Apartment,2,2,920,2022,23,27,Unfurnished,Open,Resale,2024-09-06,INR,10191565
1252,Bengaluru,Karnataka,Apartment,2,2,1045,2022,5,8,Unfurnished,Open,Resale,2023-02-05,INR,13575481
1048,Jaipur,Rajasthan,Apartment,1,1,665,2006,6,14,Unfurnished,Covered,Resale,2025-03-06,INR,5000000
1737,Kolkata,West Bengal,Apartment,3,4,1446,2015,4,10,Semi-Furnished,Open,Resale,2025-01-05,INR,11260282
1018,Lucknow,Uttar Pradesh,Condo,3,3,1488,2009,1,7,Unfurnished,Covered,Resale,2024-10-19,INR,7758083
171,Kolkata,West Bengal,Apartment,4,3,1653,2019,21,24,Unfurnished,Open,Resale,2024-02-20,INR,13714853
2097,Lucknow,Uttar Pradesh,Apartment,2,3,799,2021,13,21,Semi-Furnished,Covered,Resale,2025-04-01,INR,5000000
2488,Mumbai,Maharashtra,House,3,3,1894,2018,0,1,Furnished,None,Resale,2025-05-20,INR,51563647
2218,Jaipur,Rajasthan,Apartment,3,3,1638,2009,18,19,Semi-Furnished,Covered,Resale,2024-04-23,INR,10117750
1798,Lucknow,Uttar Pradesh,Apartment,3,2,1441,2013,4,9,Unfurnished,Covered,Resale,2024-08-27,INR,7031938
545,Gurgaon,Haryana,House,4,4,2504,2002,0,1,Unfurnished,Covered,Resale,2023-06-06,INR,25947098
1222,Chennai,Tamil Nadu,House,4,4,2985,2006,0,1,Furnished,Open,Resale,2023-01-26,INR,34868943
464,Delhi,Delhi,House,4,4,2907,2016,0,1,Semi-Furnished,Covered,Resale,2023-10-21,INR,52260197
989,Hyderabad,Telangana,Apartment,2,1,1027,2004,25,26,Unfurnished,None,Resale,2025-06-23,INR,9272551
1322,Ahmedabad,Gujarat,Apartment,3,3,1666,2010,16,23,Semi-Furnished,Covered,Resale,2023-07-06,INR,11697209
603,Bengaluru,Karnataka,Apartment,2,2,1130,2013,4,5,Furnished,Covered,Resale,2023-10-23,INR,14966533
1337,Kolkata,West Bengal,Apartment,2,3,1069,2016,7,9,Unfurnished,Covered,Resale,2023-06-11,INR,8552206
2340,Hyderabad,Telangana,Condo,2,2,1092,2022,18,27,Semi-Furnished,Covered,Resale,2025-05-09,INR,11477012
1261,Gurgaon,Haryana,Apartment,3,3,1469,2019,23,32,Furnished,Open,Resale,2023-09-07,INR,22332468
2115,Mumbai,Maharashtra,Apartment,2,2,1037,2005,22,30,Furnished,None,Resale,2023-04-04,INR,27632244
808,Jaipur,Rajasthan,House,4,3,2044,2024,0,1,Unfurnished,Covered,New,2024-07-08,INR,13229301
887,Mumbai,Maharashtra,Apartment,2,2,808,2014,19,25,Semi-Furnished,Covered,Resale,2023-03-09,INR,22024846
1583,Ahmedabad,Gujarat,House,3,3,1492,2006,0,1,Unfurnished,Open,Resale,2023-02-20,INR,8680558
1615,Hyderabad,Telangana,Townhouse,1,2,589,2014,0,1,Semi-Furnished,None,Resale,2025-01-17,INR,5868115
1838,Gurgaon,Haryana,Condo,4,4,2334,2001,0,6,Unfurnished,Covered,Resale,2023-08-07,INR,29026033
1874,Mumbai,Maharashtra,Condo,1,2,635,2019,22,31,Semi-Furnished,Covered,Resale,2024-05-01,INR,19347681
283,Bengaluru,Karnataka,Townhouse,3,2,1283,2022,0,1,Semi-Furnished,None,Resale,2023-05-10,INR,19292050
211,Pune,Maharashtra,Apartment,2,2,1067,2005,21,25,Unfurnished,Covered,Resale,2025-01-24,INR,10444705
112,Kolkata,West Bengal,Apartment,3,4,1429,2017,3,11,Unfurnished,Covered,Resale,2025-01-14,INR,11855733
1921,Delhi,Delhi,House,4,4,2322,2020,0,1,Furnished,Covered,Resale,2024-12-22,INR,37305692
2166,Hyderabad,Telangana,Condo,2,2,930,2014,0,1,Unfurnished,Covered,Resale,2023-01-08,INR,8317051
458,Lucknow,Uttar Pradesh,Condo,2,2,702,2019,16,17,Unfurnished,Covered,Resale,2025-03-19,INR,5000000
820,Lucknow,Uttar Pradesh,Apartment,1,1,521,2020,16,22,Furnished,Covered,Resale,2023-10-14,INR,5000000
2185,Noida,Uttar Pradesh,House,4,4,2172,2011,0,1,Semi-Furnished,Open,Resale,2024-03-14,INR,18589876
1656,Jaipur,Rajasthan,Condo,2,3,976,2015,4,7,Semi-Furnished,Covered,Resale,2024-05-17,INR,5965768
253,Pune,Maharashtra,Apartment,1,1,677,2011,13,21,Unfurnished,None,Resale,2023-10-04,INR,7405393
252,Hyderabad,Telangana,House,2,2,1159,2018,0,1,Unfurnished,Covered,Resale,2024-10-11,INR,12686130
1540,Kolkata,West Bengal,Condo,2,2,773,2019,5,12,Semi-Furnished,Covered,Resale,2024-09-07,INR,5655134
2130,Mumbai,Maharashtra,Apartment,2,3,874,2015,21,27,Unfurnished,Open,Resale,2024-08-14,INR,22822107
1927,Mumbai,Maharashtra,Condo,3,4,1690,2011,2,3,Furnished,Covered,Resale,2023-01-29,INR,36428007
1019,Gurgaon,Haryana,Apartment,2,1,739,2011,9,12,Semi-Furnished,None,Resale,2025-03-08,INR,9228993
423,Delhi,Delhi,Apartment,2,2,712,2024,15,16,Semi-Furnished,Covered,Resale,2025-04-21,INR,12654490
1176,Jaipur,Rajasthan,Condo,2,2,896,2010,23,27,Furnished,None,Resale,2023-07-02,INR,5839809
621,Mumbai,Maharashtra,Condo,1,1,718,2001,8,12,Unfurnished,Covered,Resale,2024-04-01,INR,16275399
174,Kolkata,West Bengal,Apartment,2,1,713,2020,3,8,Semi-Furnished,Open,Resale,2024-05-26,INR,6458812
487,Gurgaon,Haryana,Condo,2,3,992,2012,7,13,Unfurnished,None,Resale,2025-07-17,INR,12101574
1986,Jaipur,Rajasthan,Apartment,3,3,1333,2018,4,12,Furnished,None,Resale,2024-11-05,INR,8341946
1081,Hyderabad,Telangana,House,4,4,3073,1991,0,1,Unfurnished,None,Resale,2024-05-21,INR,26616730
1118,Hyderabad,Telangana,Apartment,2,1,1191,2017,22,24,Semi-Furnished,Covered,Resale,2024-01-12,INR,12183597
1358,Mumbai,Maharashtra,Apartment,3,2,1641,2014,25,33,Unfurnished,Covered,Resale,2024-08-22,INR,43100845
1042,Ahmedabad,Gujarat,Condo,3,3,1654,2025,22,31,Semi-Furnished,None,New,2023-04-10,INR,12018411
1091,Chennai,Tamil Nadu,House,2,3,1407,2011,0,1,Furnished,Covered,Resale,2023-11-09,INR,17117996
1356,Mumbai,Maharashtra,House,4,5,1860,2019,0,1,Unfurnished,Covered,Resale,2024-09-04,INR,39959679
212,Bengaluru,Karnataka,House,4,4,2525,2012,0,1,Unfurnished,None,Resale,2023-03-30,INR,33328049
614,Bengaluru,Karnataka,House,5,5,2592,2025,0,1,Unfurnished,Covered,Resale,2024-09-01,INR,31747100
2150,Kolkata,West Bengal,Condo,1,1,740,2005,12,17,Semi-Furnished,None,Resale,2023-12-22,INR,5526115
465,Bengaluru,Karnataka,House,3,3,1685,2000,0,1,Semi-Furnished,Covered,Resale,2025-03-13,INR,20561705
1468,Bengaluru,Karnataka,Apartment,3,2,1659,2008,16,17,Semi-Furnished,None,Resale,2024-08-02,INR,19492052
555,Gurgaon,Haryana,Condo,3,4,1111,2014,7,16,Furnished,Open,Resale,2025-04-26,INR,16011403
908,Kolkata,West Bengal,Apartment,2,3,1037,2023,23,25,Unfurnished,Open,New,2024-08-23,INR,10251198
994,Gurgaon,Haryana,Condo,3,3,1456,2007,15,17,Unfurnished,None,Resale,2025-01-13,INR,17218938
1969,Chennai,Tamil Nadu,Apartment,2,2,1154,2003,5,11,Furnished,Open,Resale,2023-10-16,INR,11948556
1789,Gurgaon,Haryana,House,4,4,2159,2000,0,1,Semi-Furnished,Covered,Resale,2024-09-29,INR,29742042
1599,Ahmedabad,Gujarat,Apartment,2,3,842,2021,12,16,Semi-Furnished,Covered,Resale,2023-12-31,INR,6065118
97,Delhi,Delhi,Apartment,3,3,1232,2020,22,24,Furnished,Covered,Resale,2024-03-20,INR,23330378
1965,Ahmedabad,Gujarat,Apartment,3,3,1137,2013,4,9,Unfurnished,Covered,Resale,2025-05-04,INR,7427051
1365,Jaipur,Rajasthan,Apartment,2,2,1042,2024,3,8,Unfurnished,Open,New,2023-08-10,INR,6911440
1925,Hyderabad,Telangana,Condo,3,3,1670,2019,19,25,Unfurnished,Covered,Resale,2024-08-25,INR,20833634
612,Delhi,Delhi,Apartment,1,1,579,2003,23,25,Unfurnished,Covered,Resale,2023-10-15,INR,9044255
446,Kolkata,West Bengal,House,3,2,2158,2002,0,1,Unfurnished,Covered,Resale,2025-07-18,INR,19577620
238,Hyderabad,Telangana,Apartment,2,2,955,2016,15,23,Semi-Furnished,Covered,Resale,2025-08-24,INR,9764791
2311,Kolkata,West Bengal,Condo,2,2,1194,1996,1,7,Unfurnished,Covered,Resale,2024-06-25,INR,9590888
874,Noida,Uttar Pradesh,Apartment,3,3,1355,2019,25,28,Semi-Furnished,Covered,Resale,2024-12-29,INR,13750747
2498,Ahmedabad,Gujarat,House,4,4,2125,2016,0,1,Semi-Furnished,Covered,Resale,2023-11-06,INR,14687340
2055,Mumbai,Maharashtra,House,5,5,2729,2007,0,1,Furnished,Covered,Resale,2024-08-24,INR,65107991
1674,Jaipur,Rajasthan,Apartment,4,4,1687,2018,20,26,Unfurnished,None,Resale,2023-07-22,INR,9473819
2123,Jaipur,Rajasthan,Apartment,1,1,552,2007,5,12,Semi-Furnished,Covered,Resale,2024-10-21,INR,5000000
840,Lucknow,Uttar Pradesh,House,3,4,1358,2015,0,1,Unfurnished,Covered,Resale,2023-09-20,INR,7561371
582,Ahmedabad,Gujarat,Condo,1,1,697,2020,24,26,Unfurnished,Covered,Resale,2024-06-20,INR,5000000
1282,Gurgaon,Haryana,House,5,5,4185,2008,0,1,Unfurnished,Covered,Resale,2025-03-12,INR,53394965
980,Delhi,Delhi,Apartment,2,2,886,2010,17,20,Unfurnished,None,Resale,2023-04-25,INR,14817494
791,Noida,Uttar Pradesh,Apartment,3,4,1639,2021,25,32,Unfurnished,Covered,Resale,2024-10-29,INR,17570178
842,Chennai,Tamil Nadu,Apartment,2,2,775,2014,0,9,Unfurnished,Covered,Resale,2024-09-09,INR,8413439
483,Ahmedabad,Gujarat,Apartment,2,3,724,2012,8,16,Unfurnished,Covered,Resale,2024-12-08,INR,5000000
1911,Kolkata,West Bengal,Apartment,2,2,876,2003,3,10,Unfurnished,Covered,Resale,2023-09-21,INR,7878031
622,Mumbai,Maharashtra,Apartment,1,2,786,2023,3,5,Semi-Furnished,Covered,Resale,2023-08-11,INR,21898531
1503,Mumbai,Maharashtra,Apartment,4,3,2472,2007,22,24,Unfurnished,Covered,Resale,2023-04-05,INR,55423523
333,Mumbai,Maharashtra,Apartment,3,3,1792,2001,11,18,Furnished,Open,Resale,2024-06-22,INR,44387497
479,Lucknow,Uttar Pradesh,Apartment,2,2,795,2016,10,16,Unfurnished,Open,Resale,2023-08-31,INR,5153733
1495,Delhi,Delhi,Condo,3,4,1557,1997,17,20,Semi-Furnished,Covered,Resale,2023-04-17,INR,29463776
508,Noida,Uttar Pradesh,Apartment,2,1,827,2004,24,25,Semi-Furnished,Covered,Resale,2023-04-04,INR,7558419
1451,Ahmedabad,Gujarat,Apartment,3,3,1429,2024,20,23,Unfurnished,Open,New,2025-06-13,INR,10158603
2424,Jaipur,Rajasthan,Apartment,4,4,2328,2017,17,21,Unfurnished,Open,Resale,2024-03-15,INR,13544300
644,Jaipur,Rajasthan,Townhouse,2,3,959,2001,0,1,Semi-Furnished,Covered,Resale,2025-02-27,INR,5099854
481,Delhi,Delhi,House,4,5,2535,2022,0,1,Unfurnished,Open,Resale,2023-07-20,INR,45158533
1456,Gurgaon,Haryana,Apartment,3,4,1124,2017,25,28,Unfurnished,Covered,Resale,2024-06-26,INR,12830886
2395,Hyderabad,Telangana,Apartment,3,4,1567,2012,23,24,Unfurnished,Open,Resale,2025-08-29,INR,15125228
1012,Kolkata,West Bengal,House,4,4,2411,1989,0,1,Semi-Furnished,None,Resale,2023-04-19,INR,20172854
765,Kolkata,West Bengal,Apartment,1,1,473,2015,21,31,Unfurnished,None,Resale,2024-06-06,INR,5000000
1290,Lucknow,Uttar Pradesh,Apartment,2,2,886,2020,15,25,Furnished,Covered,Resale,2025-02-02,INR,5000000
1224,Hyderabad,Telangana,Apartment,2,1,1000,2009,16,17,Furnished,Open,Resale,2023-04-07,INR,10629012
1334,Noida,Uttar Pradesh,House,3,3,1422,2009,0,1,Furnished,Open,Resale,2023-06-28,INR,17187399
618,Kolkata,West Bengal,House,5,4,2619,2023,0,1,Semi-Furnished,Covered,New,2024-10-14,INR,28211315
522,Bengaluru,Karnataka,Apartment,2,2,1162,2009,20,27,Semi-Furnished,Covered,Resale,2023-11-29,INR,15144492
583,Jaipur,Rajasthan,House,3,2,2040,2008,0,1,Semi-Furnished,None,Resale,2025-06-04,INR,12811182
1059,Delhi,Delhi,Apartment,3,3,1400,2001,20,22,Unfurnished,None,Resale,2025-03-25,INR,22066640
1407,Kolkata,West Bengal,Condo,3,2,1568,2022,15,23,Unfurnished,Open,Resale,2023-07-25,INR,13305939
297,Gurgaon,Haryana,Condo,1,2,710,2005,25,29,Unfurnished,None,Resale,2024-02-06,INR,9793609
2443,Ahmedabad,Gujarat,Apartment,2,3,806,2001,24,34,Unfurnished,Covered,Resale,2025-08-05,INR,5000000
1062,Noida,Uttar Pradesh,Apartment,1,2,465,2016,11,13,Semi-Furnished,None,Resale,2024-06-14,INR,5000000
858,Kolkata,West Bengal,Apartment,2,2,1111,2015,7,12,Unfurnished,None,Resale,2023-10-07,INR,9416882
1693,Chennai,Tamil Nadu,Apartment,2,1,1065,2025,22,32,Unfurnished,Covered,New,2023-09-19,INR,13509252
408,Noida,Uttar Pradesh,House,3,3,1702,2010,0,1,Unfurnished,Covered,Resale,2023-05-17,INR,17157610
1079,Kolkata,West Bengal,House,4,5,2730,2002,0,1,Semi-Furnished,Open,Resale,2024-05-04,INR,26851294
1084,Hyderabad,Telangana,House,3,3,1966,1998,0,1,Furnished,Covered,Resale,2023-11-11,INR,23985784
169,Kolkata,West Bengal,House,4,5,2251,2005,0,1,Unfurnished,Covered,Resale,2023-03-23,INR,19002403
2181,Lucknow,Uttar Pradesh,Apartment,3,3,1485,2023,20,26,Unfurnished,None,New,2024-01-20,INR,8370911
240,Jaipur,Rajasthan,Apartment,3,2,1782,1995,22,25,Semi-Furnished,Covered,Resale,2023-05-21,INR,11357223
2306,Bengaluru,Karnataka,House,2,2,936,2002,0,1,Unfurnished,Covered,Resale,2023-10-08,INR,13839253
1998,Bengaluru,Karnataka,Apartment,4,4,1812,2003,20,22,Furnished,Covered,Resale,2023-06-15,INR,20752354
1902,Jaipur,Rajasthan,Apartment,3,3,1129,2022,18,19,Unfurnished,None,Resale,2024-01-11,INR,6879632
1051,Mumbai,Maharashtra,Apartment,2,2,1130,2022,5,15,Semi-Furnished,Covered,Resale,2025-04-19,INR,27917675
1913,Mumbai,Maharashtra,Apartment,1,1,737,2018,14,19,Unfurnished,None,Resale,2024-02-17,INR,18564530
1868,Kolkata,West Bengal,House,3,3,1440,2011,0,1,Unfurnished,Open,Resale,2023-02-01,INR,13952350
2096,Ahmedabad,Gujarat,Apartment,1,2,684,2009,21,31,Unfurnished,Covered,Resale,2024-11-27,INR,5000000
523,Noida,Uttar Pradesh,Apartment,2,3,809,2011,14,22,Furnished,Covered,Resale,2024-07-17,INR,7992178
1738,Jaipur,Rajasthan,Apartment,2,1,1104,2018,20,23,Semi-Furnished,None,Resale,2023-11-22,INR,6366840
2473,Pune,Maharashtra,House,4,4,3076,2012,0,1,Unfurnished,Covered,Resale,2025-08-18,INR,29393714
